name_hotel,link_hotel,access,star,review,price,pop_score
日本百景に囲まれた洞窟風呂の宿　百楽荘　能登九十九湾,https://www.jalan.net/uw/uwp3000/uww3001.do?stayCount=1&roomCount=1&adultNum=2&stayDay=&ssc=46133&roomCrack=200000&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&screenId=UWW1402&yadNo=320237&callbackHistFlg=1,"
 ２年連続！《大リニューアル☆特別セール中》★『人気の洞窟風呂』20年ぶりの全面リニューアル！★『3つの貸切風呂＆個室食事処＆GAMEラウンジ』オープン♪露天風呂付も！スイートも！お得！！
 ",4.7,59,27258,19.243419442443873
THE HOTEL SANRAKU KANAZAWA（ザ ホテル山楽 金沢）,https://www.jalan.net/uw/uwp3000/uww3001.do?stayCount=1&roomCount=1&adultNum=2&stayDay=&ssc=46133&roomCrack=200000&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&screenId=UWW1402&yadNo=350199&callbackHistFlg=1,"
 【じゃらん OF THE YEAR2024　3部門受賞】金沢観光の中心に位置し、人気観光地へも徒歩圏内。全室32平米以上の快適な客室、さらにクラブラウンジや四季を彩る美しい中庭を誇るラグジュアリーホテル。
 ",4.8,506,8000,29.89685281723768
TAOYA和倉,https://www.jalan.net/uw/uwp3000/uww3001.do?stayCount=1&roomCount=1&adultNum=2&stayDay=&ssc=46133&roomCrack=200000&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&screenId=UWW1402&yadNo=385075&callbackHistFlg=1,"
 海を臨むインフィニティ温泉を堪能できるTAOYA和倉。洗練された空間で楽しむオールインクルーシブをご堪能ください。
 ",4.4,1697,16900,32.72370801423369
加賀 山代温泉　みどりの宿 萬松閣,https://www.jalan.net/uw/uwp3000/uww3001.do?stayCount=1&roomCount=1&adultNum=2&stayDay=&ssc=46133&roomCrack=200000&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&screenId=UWW1402&yadNo=336421&callbackHistFlg=1,"
 お盆・夏休みクーポン発行中！　森林浴の露天風呂♪　源泉かけ流し大浴場、露天風呂付き客室で温まろ♪　ファミリー、カップルで貸切風呂♪　直前割、記念日プランも好評！　緑に囲まれた天然温泉の癒し宿

 ",4.5,2595,12100,35.377771850207914
金沢白鳥路　ホテル山楽,https://www.jalan.net/uw/uwp3000/uww3001.do?stayCount=1&roomCount=1&adultNum=2&stayDay=&ssc=46133&roomCrack=200000&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&screenId=UWW1402&yadNo=388405&callbackHistFlg=1,"
 【じゃらん OF THE YEAR 売れた宿大賞 石川県 2位】兼六園まで徒歩5分！天然温泉・サウナ完備！のど黒や金沢グルメを楽しめる朝食や加賀会席も好評！大正ロマンの情緒に包まれ優雅で上質なひとときを。
 ",4.7,2576,6000,36.915591690066115
加賀　山代温泉　吉田屋 山王閣,https://www.jalan.net/uw/uwp3000/uww3001.do?stayCount=1&roomCount=1&adultNum=2&stayDay=&ssc=46133&roomCrack=200000&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&screenId=UWW1402&yadNo=321767&callbackHistFlg=1,"
 8月1日～23日は屋外プールも利用可能◆温泉付き客室は全１９室、「羽伸～UNO～」新タイプもオープン◆大浴場リニューアル♪をした当館へ♪サウナ＆外気浴の「ととのう」温泉旅行を◆ご予約はお早目に♪
 ",4.5,117,11000,21.468080810095493
吉祥やまなか,https://www.jalan.net/uw/uwp3000/uww3001.do?stayCount=1&roomCount=1&adultNum=2&stayDay=&ssc=46133&roomCrack=200000&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&screenId=UWW1402&yadNo=322948&callbackHistFlg=1,"
 渓流沿いに佇む静寂の湯宿。加賀の雅が薫る館内で加賀能登の美食と名湯を堪能。
鉄板パンケーキや貸切風呂に毎夜上演の山中節など、心尽くしの12のおもてなしで極上の滞在を。
 ",4.6,2498,13800,35.988771281840776
片山津温泉　湖畔の宿　森本,https://www.jalan.net/uw/uwp3000/uww3001.do?stayCount=1&roomCount=1&adultNum=2&stayDay=&ssc=46133&roomCrack=200000&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&screenId=UWW1402&yadNo=347449&callbackHistFlg=1,"
 加賀北陸の贅沢な味覚、のどぐろに能登牛、そして秋冬は蟹！森本の蟹はすべて活ガニを使用しています。湖畔越しに見える霊峰白山は心和む絶景！おもてなしのフリーラウンジでゆっくり流れる至福時間をどうぞ
 ",4.6,837,9900,30.962683262217578
山代温泉　ゆのくに天祥,https://www.jalan.net/uw/uwp3000/uww3001.do?stayCount=1&roomCount=1&adultNum=2&stayDay=&ssc=46133&roomCrack=200000&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&screenId=UWW1402&yadNo=332812&callbackHistFlg=1,"
 夏休みは150mウォータースライダー＆プールで気分爽快！　「じゃらんnetランキング2022～2026 売れた宿大賞 石川県 101～300室部門 1位」に選出。自慢の大浴場をお楽しみください【総合4.7 風呂4.8】
 ",4.7,4724,9900,39.764927347660866
金沢　彩の庭ホテル,https://www.jalan.net/uw/uwp3000/uww3001.do?stayCount=1&roomCount=1&adultNum=2&stayDay=&ssc=46133&roomCrack=200000&stayYear=&stayMonth=&dateUndecided=1&rootCd=0146133&distCd=05&screenId=UWW1402&yadNo=359852&callbackHistFlg=1,"
 【10年連続じゃらん OF THE YEAR アワード受賞！】【全プラン無料朝食付き・駐車場無料・金沢駅からホテル間の無料シャトルバスあり】
 ",4.9,1088,9425,34.26577410237151
